2026-05-03 20:01:33 | Amb:55.5 | Hum:50 | Wind:0.0 | Pres:28.99 | SkyDiff:53.5
2026-05-03 20:11:44 | Amb:55.3 | Hum:50 | Wind:0.0 | Pres:28.98 | SkyDiff:52.8
2026-05-03 20:14:41 | Amb:55.0 | Hum:51 | Wind:0.0 | Pres:28.98 | SkyDiff:51.3
2026-05-03 20:24:09 | Amb:54.9 | Hum:52 | Wind:0.0 | Pres:28.98 | SkyDiff:33.9
2026-05-03 20:39:11 | Amb:54.5 | Hum:53 | Wind:0.0 | Pres:28.98 | SkyDiff:51.0
2026-05-03 20:54:15 | Amb:53.7 | Hum:54 | Wind:0.0 | Pres:28.97 | SkyDiff:51.3
2026-05-03 21:09:16 | Amb:53.1 | Hum:56 | Wind:0.0 | Pres:28.97 | SkyDiff:50.2
2026-05-03 21:24:18 | Amb:52.7 | Hum:57 | Wind:0.0 | Pres:28.98 | SkyDiff:49.7
2026-05-03 21:39:19 | Amb:52.2 | Hum:59 | Wind:0.0 | Pres:28.97 | SkyDiff:49.8
2026-05-03 21:54:20 | Amb:52.1 | Hum:59 | Wind:0.0 | Pres:28.97 | SkyDiff:50.1
2026-05-03 22:09:21 | Amb:51.7 | Hum:60 | Wind:0.0 | Pres:28.98 | SkyDiff:49.6
2026-05-03 22:24:26 | Amb:51.9 | Hum:60 | Wind:0.0 | Pres:28.98 | SkyDiff:49.8
2026-05-03 22:39:27 | Amb:51.4 | Hum:62 | Wind:0.0 | Pres:28.98 | SkyDiff:49.9
2026-05-03 22:54:27 | Amb:51.0 | Hum:63 | Wind:0.0 | Pres:28.98 | SkyDiff:50.2
2026-05-03 23:09:28 | Amb:50.7 | Hum:64 | Wind:0.0 | Pres:28.97 | SkyDiff:49.8
2026-05-03 23:24:29 | Amb:50.2 | Hum:65 | Wind:0.0 | Pres:28.97 | SkyDiff:49.7
2026-05-03 23:39:30 | Amb:49.8 | Hum:67 | Wind:0.0 | Pres:28.97 | SkyDiff:49.6
2026-05-03 23:54:32 | Amb:49.8 | Hum:67 | Wind:0.0 | Pres:28.96 | SkyDiff:49.1
2026-05-04 00:09:33 | Amb:49.3 | Hum:69 | Wind:0.0 | Pres:28.96 | SkyDiff:48.6
2026-05-04 00:24:33 | Amb:49.2 | Hum:70 | Wind:0.0 | Pres:28.96 | SkyDiff:48.2
2026-05-04 00:39:35 | Amb:49.3 | Hum:70 | Wind:0.0 | Pres:28.95 | SkyDiff:47.7
2026-05-04 00:54:35 | Amb:49.4 | Hum:70 | Wind:0.0 | Pres:28.95 | SkyDiff:47.9
2026-05-04 01:09:35 | Amb:49.4 | Hum:70 | Wind:0.0 | Pres:28.95 | SkyDiff:48.4
2026-05-04 01:24:36 | Amb:49.3 | Hum:70 | Wind:0.0 | Pres:28.95 | SkyDiff:48.5
2026-05-04 01:39:37 | Amb:49.2 | Hum:71 | Wind:0.0 | Pres:28.94 | SkyDiff:48.2
2026-05-04 01:54:39 | Amb:49.6 | Hum:70 | Wind:0.0 | Pres:28.93 | SkyDiff:48.3
2026-05-04 02:09:41 | Amb:49.5 | Hum:70 | Wind:0.0 | Pres:28.93 | SkyDiff:47.0
2026-05-04 02:24:42 | Amb:49.5 | Hum:70 | Wind:0.0 | Pres:28.92 | SkyDiff:47.6
2026-05-04 02:39:42 | Amb:49.2 | Hum:71 | Wind:0.0 | Pres:28.92 | SkyDiff:48.0
2026-05-04 02:54:42 | Amb:49.1 | Hum:72 | Wind:0.0 | Pres:28.92 | SkyDiff:47.9
2026-05-04 03:09:43 | Amb:49.0 | Hum:72 | Wind:0.0 | Pres:28.91 | SkyDiff:47.3
2026-05-04 03:24:43 | Amb:48.9 | Hum:72 | Wind:0.0 | Pres:28.91 | SkyDiff:47.4
2026-05-04 03:39:45 | Amb:49.1 | Hum:72 | Wind:0.0 | Pres:28.90 | SkyDiff:48.5
2026-05-04 03:54:46 | Amb:48.4 | Hum:73 | Wind:0.0 | Pres:28.90 | SkyDiff:48.2
2026-05-04 04:09:48 | Amb:47.8 | Hum:75 | Wind:0.0 | Pres:28.90 | SkyDiff:47.0
2026-05-04 04:24:49 | Amb:47.5 | Hum:76 | Wind:0.0 | Pres:28.90 | SkyDiff:47.8
2026-05-04 04:39:49 | Amb:47.3 | Hum:76 | Wind:0.0 | Pres:28.89 | SkyDiff:47.7
2026-05-04 04:54:50 | Amb:47.3 | Hum:76 | Wind:0.0 | Pres:28.89 | SkyDiff:47.9
2026-05-04 05:09:51 | Amb:46.7 | Hum:78 | Wind:0.0 | Pres:28.89 | SkyDiff:47.0
2026-05-04 05:24:52 | Amb:46.3 | Hum:79 | Wind:0.0 | Pres:28.88 | SkyDiff:47.9
2026-05-04 05:39:53 | Amb:46.4 | Hum:79 | Wind:0.0 | Pres:28.88 | SkyDiff:47.8
2026-05-04 05:54:54 | Amb:46.1 | Hum:80 | Wind:0.0 | Pres:28.89 | SkyDiff:48.7
2026-05-04 06:09:55 | Amb:45.6 | Hum:82 | Wind:0.0 | Pres:28.88 | SkyDiff:48.5
2026-05-04 06:24:56 | Amb:45.1 | Hum:82 | Wind:0.0 | Pres:28.88 | SkyDiff:48.2
2026-05-04 06:39:57 | Amb:45.2 | Hum:82 | Wind:0.0 | Pres:28.88 | SkyDiff:48.9
2026-05-04 06:54:58 | Amb:46.0 | Hum:81 | Wind:0.0 | Pres:28.88 | SkyDiff:50.2
2026-05-04 07:10:00 | Amb:47.0 | Hum:79 | Wind:0.0 | Pres:28.88 | SkyDiff:51.7
2026-05-04 07:25:00 | Amb:48.5 | Hum:76 | Wind:0.0 | Pres:28.88 | SkyDiff:53.2
2026-05-04 07:40:02 | Amb:49.9 | Hum:73 | Wind:0.0 | Pres:28.88 | SkyDiff:54.8
2026-05-04 07:55:04 | Amb:53.4 | Hum:66 | Wind:0.0 | Pres:28.89 | SkyDiff:57.9
2026-05-04 08:10:05 | Amb:57.5 | Hum:58 | Wind:0.0 | Pres:28.89 | SkyDiff:60.1
2026-05-04 08:25:07 | Amb:61.0 | Hum:51 | Wind:0.0 | Pres:28.89 | SkyDiff:63.6
2026-05-04 08:40:08 | Amb:63.6 | Hum:48 | Wind:0.0 | Pres:28.89 | SkyDiff:66.5
2026-05-04 08:55:08 | Amb:64.9 | Hum:46 | Wind:0.0 | Pres:28.89 | SkyDiff:67.7
2026-05-04 09:10:09 | Amb:67.8 | Hum:43 | Wind:0.0 | Pres:28.89 | SkyDiff:70.3
2026-05-04 09:25:10 | Amb:69.8 | Hum:39 | Wind:0.0 | Pres:28.89 | SkyDiff:71.6
2026-05-04 09:40:12 | Amb:72.4 | Hum:37 | Wind:0.0 | Pres:28.88 | SkyDiff:73.9
2026-05-04 09:55:14 | Amb:73.1 | Hum:33 | Wind:0.0 | Pres:28.88 | SkyDiff:72.8
2026-05-04 10:10:15 | Amb:75.4 | Hum:32 | Wind:0.0 | Pres:28.87 | SkyDiff:76.1
2026-05-04 10:25:17 | Amb:77.1 | Hum:28 | Wind:0.0 | Pres:28.87 | SkyDiff:76.1
2026-05-04 10:40:17 | Amb:78.2 | Hum:28 | Wind:0.0 | Pres:28.86 | SkyDiff:78.5
2026-05-04 10:55:19 | Amb:79.1 | Hum:24 | Wind:0.0 | Pres:28.85 | SkyDiff:77.6
2026-05-04 11:10:20 | Amb:79.0 | Hum:23 | Wind:0.0 | Pres:28.85 | SkyDiff:78.0
2026-05-04 11:25:20 | Amb:81.2 | Hum:22 | Wind:0.0 | Pres:28.85 | SkyDiff:78.8
2026-05-04 11:40:20 | Amb:80.7 | Hum:20 | Wind:0.0 | Pres:28.84 | SkyDiff:79.4
2026-05-04 11:55:21 | Amb:82.4 | Hum:20 | Wind:0.0 | Pres:28.84 | SkyDiff:82.9
2026-05-04 12:10:21 | Amb:84.1 | Hum:20 | Wind:0.0 | Pres:28.84 | SkyDiff:81.7
2026-05-04 12:25:23 | Amb:83.7 | Hum:17 | Wind:0.0 | Pres:28.83 | SkyDiff:81.2
2026-05-04 12:40:24 | Amb:84.1 | Hum:14 | Wind:0.8 | Pres:28.82 | SkyDiff:81.2
2026-05-04 12:55:25 | Amb:81.9 | Hum:15 | Wind:0.0 | Pres:28.82 | SkyDiff:80.1
2026-05-04 13:10:26 | Amb:82.3 | Hum:14 | Wind:0.0 | Pres:28.82 | SkyDiff:78.6
2026-05-04 13:25:27 | Amb:85.5 | Hum:11 | Wind:0.0 | Pres:28.81 | SkyDiff:79.8
2026-05-04 13:40:29 | Amb:90.3 | Hum:11 | Wind:0.0 | Pres:28.80 | SkyDiff:86.6
2026-05-04 13:55:31 | Amb:90.3 | Hum:10 | Wind:0.0 | Pres:28.79 | SkyDiff:87.9
